,company
365,REDAN
366,REGNON
367,REINHOLD
368,REINO
369,RELPOL
370,REMAK
371,RENDER
372,RESBUD
373,RONSON
374,ROPCZYCE
375,RYVU
376,SADOVAYA
377,SANOK
378,SANPL
379,SANTANDER
380,SANWIL
381,SATIS
382,SCPFL
383,SECOGROUP
384,SEKO
385,SELENAFM
386,SELVITA
387,SERINUS
388,SESCOM
389,SFINKS
390,SHOPER
391,SILVAIR-REGS
392,SILVANO
393,SIMFABRIC
394,SIMPLE
395,SKARBIEC
396,SKOTAN
397,SKYLINE
398,SLEEPZAG
399,SNIEZKA
400,SNTVERSE
401,SOHODEV
402,SOLAR
403,SONEL
404,SOPHARMA
405,SPYROSOFT
406,STALEXP
407,STALPROD
408,STALPROFI
409,STAPORKOW
410,STARHEDGE
411,STSHOLDING
412,SUNEX
413,SUWARY
414,SWISSMED
415,SYGNITY
416,SYNEKTIK
417,TALEX
418,TARCZYNSKI
419,TATRY
420,TAURONPE
421,TBULL
422,TENDERHUT
423,TERMOREX
424,TESGAS
425,TEXT
426,TIM
427,TORPOL
428,TOWERINVT
429,TOYA
430,TRAKCJA
431,TRANSPOL
432,TRITON
433,TSGAMES
434,TXM
435,ULMA
436,ULTGAMES
437,UNFOLD
438,UNIBEP
439,UNICREDIT
440,UNIMA
441,UNIMOT
442,URSUS
443,URTESTE
444,VENTUREIN
445,VERCOM
446,VIGOPHOTN
447,VIGOSYS
448,VINDEXUS
449,VISTAL
450,VIVID
451,VOTUM
452,VOXEL
453,VRG
454,WARIMPEX
455,WASKO
456,WAWEL
457,WIELTON
458,WIKANA
459,WINVEST
460,WIRTUALNA
461,WITTCHEN
462,WOJAS
463,WOODPCKR
464,XPLUS
465,XTB
466,XTPL
467,YARRL
468,YOLO
469,ZABKA
470,ZAMET
471,ZEPAK
472,ZPUE
473,ZREMB
474,ZUE
475,ZYWIEC
